Locations,Count of location
"Abu Dhabi, Abu Dhabi, United Arab Emirates",153
"Abu Dhabi, United Arab Emirates",17
"Adelaide, South Australia, Australia",24
"Albany, New York, USA",12
"Albuquerque, New Mexico, USA",11
"Anaheim, California, USA",55
"Atlanta, Georgia, USA",35
"Atlantic City, New Jersey, USA",34
"Auburn Hills, Michigan, USA",11
"Auckland, New Zealand",33
"Austin, Texas, USA",34
"Baltimore, Maryland, USA",10
"Bangor, Maine, USA",10
"Barueri, Sao Paulo, Brazil",22
"Beijing, China",12
"Belem, Para, Brazil",11
"Belfast, Northern Ireland, United Kingdom",13
"Belo Horizonte, Minas Gerais, Brazil",21
"Berlin, Berlin, Germany",11
"Berlin, Germany",10
"Birmingham, England, United Kingdom",10
"Boise, Idaho, USA",13
"Boston, Massachusetts, USA",71
"Brasilia, Distrito Federal, Brazil",35
"Brisbane, Queensland, Australia",22
"Brooklyn, New York, USA",32
"Broomfield, Colorado, USA",21
"Buenos Aires, Buenos Aires, Argentina",12
"Buffalo, New York, USA",13
"Busan, South Korea",13
"Calgary, Alberta, Canada",22
"Charlotte, North Carolina, USA",23
"Chicago, Illinois, USA",80
"Cincinnati, Ohio, USA",13
"Cleveland, Ohio, USA",10
"Copenhagen, Denmark",13
"Curitiba, Parana, Brazil",11
"Dallas, Texas, USA",49
"Denver, Colorado, USA",43
"Detroit, Michigan, USA",13
"Dublin, Leinster, Ireland",19
"Duluth, Georgia, USA",12
"East Rutherford, New Jersey, USA",12
"Edmonton, Alberta, Canada",22
"Fairfax, Virginia, USA",22
"Fort Campbell, Kentucky, USA",12
"Fortaleza, Ceara, Brazil",35
"Fresno, California, USA",13
"Gdansk, Poland",11
"Glasgow, Scotland, United Kingdom",24
"Glendale, Arizona, USA",28
"Goiania, Goias, Brazil",22
"Gold Coast, Queensland, Australia",9
"Greenville, South Carolina, USA",11
"Halifax, Nova Scotia, Canada",22
"Hamburg, Hamburg, Germany",23
"Hidalgo, Texas, USA",11
"Hollywood, Florida, USA",9
"Houston, Texas, USA",82
"Indianapolis, Indiana, USA",22
"Jacksonville, Florida, USA",46
"Jaragua do Sul, Santa Catarina, Brazil",25
"Kallang, Singapore",35
"Kansas City, Missouri, USA",13
"Killeen, Texas, USA",11
"Krakow, Poland",12
"Las Vegas, Nevada, USA",1251
"Ledyard, Connecticut, USA",9
"Lincoln, Nebraska, USA",13
"Liverpool, England, United Kingdom",11
"London, England, United Kingdom",74
"Los Angeles, California, USA",55
"Louisville, Kentucky, USA",11
"Macau, China",26
"Manchester, England, United Kingdom",22
"Manila, Philippines",12
"Melbourne, Victoria, Australia",48
"Mexico City, Distrito Federal, Mexico",57
"Milwaukee, Wisconsin, USA",36
"Minneapolis, Minnesota, USA",22
"Moncton, New Brunswick, Canada",13
"Monterrey, Nuevo Leon, Mexico",13
"Montevideo, Uruguay",13
"Montreal, Quebec, Canada",57
"Moscow, Moscow, Russia",25
"Nashville, Tennessee, USA",48
"Natal, Rio Grande do Norte, Brazil",10
"New Orleans, Louisiana, USA",24
"New York City, New York, USA",44
"Newark, New Jersey, USA",79
"Norfolk, Virginia, USA",25
"Nottingham, England, United Kingdom",11
"Oakland, California, USA",11
"Oberhausen, North Rhine-Westphalia, Germany",10
"Oklahoma City, Oklahoma, USA",11
"Omaha, Nebraska, USA",9
"Orlando, Florida, USA",37
"Ottawa, Ontario, Canada",25
"Perth, Western Australia, Australia",12
"Philadelphia, Pennsylvania, USA",24
"Phoenix, Arizona, USA",36
"Pittsburgh, Pennsylvania, USA",33
"Portland, Oregon, USA",12
"Porto Alegre, Rio Grande do Sul, Brazil",11
"Prague, Czech Republic",13
"Quebec City, Quebec, Canada",13
"Raleigh, North Carolina, USA",12
"Rio de Janeiro, Brazil",68
"Rio de Janeiro, Rio de Janeiro, Brazil",48
"Rio Rancho, New Mexico, USA",13
"Rochester, New York, USA",13
"Rotterdam, Zuid-Holland, Netherlands",25
"Sacramento, California, USA",43
"Saint Petersburg, Saint Petersburg, Russia",11
"Saitama, Japan",43
"Saitama, Saitama, Japan",10
"Salt Lake City, Utah, USA",12
"San Antonio, Texas, USA",24
"San Diego, California, USA",22
"San Jose, California, USA",46
"Santiago, Chile",13
"Sao Paulo, Brazil",22
"Sao Paulo, Sao Paulo, Brazil",60
"Saskatoon, Saskatchewan, Canada",12
"Seattle, Washington, USA",35
"Seoul, South Korea",11
"Shanghai, Hebei, China",12
"Shenzhen, Guangdong, China",11
"Singapore, Singapore",10
"Sioux Falls, South Dakota, USA",12
"St. Louis, Missouri, USA",11
"Stockholm, Sweden",72
"Sunrise, Florida, USA",25
"Sydney, New South Wales, Australia",45
"Tampa, Florida, USA",25
"Toronto, Ontario, Canada",74
"Tulsa, Oklahoma, USA",11
"Uberlandia, Minas Gerais, Brazil",10
"Uniondale, New York, USA",13
"Utica, New York, USA",12
"Vancouver, British Columbia, Canada",55
"Washington, DC, USA",20
"Wichita, Kansas, USA",13
"Winnipeg, Manitoba, Canada",22
"Zagreb, Croatia",13
Grand Total,4896
