City,State,Country,Latitude,Longitude,Number of Fights
Albany, New York, USA,42.6525793,-73.7562317,12
Albuquerque, New Mexico, USA,35.0843859,-106.650422,11
Anaheim, California, USA,33.8365932,-117.9143012,55
Atlanta, Georgia, USA,33.748752,-84.3876845,35
Atlantic City, New Jersey, USA,39.3642834,-74.4229266,34
Auburn Hills, Michigan, USA,42.6875323,-83.2341028,11
Austin, Texas, USA,30.267153,-97.7430608,34
Baltimore, Maryland, USA,39.2903848,-76.6121893,10
Bangor, Maine, USA,44.8016128,-68.7712257,10
Boise, Idaho, USA,43.6150186,-116.2023137,13
Boston, Massachusetts, USA,42.3600825,-71.0588801,71
Brooklyn, New York, USA,40.6781784,-73.9441579,32
Broomfield, Colorado, USA,39.9205411,-105.0866504,21
Buffalo, New York, USA,42.8864468,-78.8783689,13
Charlotte, North Carolina, USA,35.2270869,-80.8431267,23
Chicago, Illinois, USA,41.8781136,-87.6297982,80
Cincinnati, Ohio, USA,39.1031182,-84.5120196,13
Cleveland, Ohio, USA,41.49932,-81.6943605,10
Dallas, Texas, USA,32.7766642,-96.7969879,49
Denver, Colorado, USA,39.7392358,-104.990251,43
Detroit, Michigan, USA,42.331427,-83.0457538,13
Duluth, Georgia, USA,46.7866719,-92.1004852,12
East Rutherford, New Jersey, USA,40.833989,-74.0970865,12
Fairfax, Virginia, USA,38.8462236,-77.3063733,22
Fort Campbell, Kentucky, USA,37.8393332,-84.2700179,12
Fresno, California, USA,36.7377981,-119.7871247,13
Glendale, Arizona, USA,34.1425078,-118.255075,28
Greenville, South Carolina, USA,34.8526176,-82.3940104,11
Hidalgo, Texas, USA,31.9685988,-99.9018131,11
Hollywood, Florida, USA,34.0928092,-118.3286614,9
Houston, Texas, USA,29.7604267,-95.3698028,82
Indianapolis, Indiana, USA,39.768403,-86.158068,22
Jacksonville, Florida, USA,30.3321838,-81.655651,46
Kansas City, Missouri, USA,39.0997265,-94.5785667,13
Killeen, Texas, USA,31.1171194,-97.7277959,11
Las Vegas, Nevada, USA,36.171563,-115.1391009,1251
Ledyard, Connecticut, USA,41.4456444,-72.0181743,9
Lincoln, Nebraska, USA,41.4925374,-99.9018131,13
Los Angeles, California, USA,34.0549076,-118.242643,55
Louisville, Kentucky, USA,38.2526647,-85.7584557,11
Milwaukee, Wisconsin, USA,43.0389025,-87.9064736,36
Minneapolis, Minnesota, USA,44.977753,-93.2650108,22
Nashville, Tennessee, USA,36.1626638,-86.7816016,48
New Orleans, Louisiana, USA,29.9510658,-90.0715323,24
New York City, New York, USA,40.7127753,-74.0059728,44
Newark, New Jersey, USA,40.735657,-74.1723667,79
Norfolk, Virginia, USA,36.8507689,-76.2858726,25
Oakland, California, USA,37.8043514,-122.2711639,11
Oklahoma City, Oklahoma, USA,35.4675602,-97.5164276,11
Omaha, Nebraska, USA,41.2565369,-95.9345034,9
Orlando, Florida, USA,28.5383832,-81.3789269,37
Philadelphia, Pennsylvania, USA,39.9525839,-75.1652215,24
Phoenix, Arizona, USA,33.4483771,-112.0740373,36
Pittsburgh, Pennsylvania, USA,40.4406248,-79.9958864,33
Portland, Oregon, USA,45.515232,-122.6783853,12
Raleigh, North Carolina, USA,35.7795897,-78.6381787,12
Rio Rancho, New Mexico, USA,35.2327544,-106.6630437,13
Rochester, New York, USA,43.1565779,-77.6088465,13
Sacramento, California, USA,38.5815719,-121.4943996,43
Salt Lake City, Utah, USA,40.7607793,-111.8910474,12
San Antonio, Texas, USA,29.4251905,-98.4945922,24
San Diego, California, USA,32.715738,-117.1610838,22
San Jose, California, USA,37.33874,-121.8852525,46
Seattle, Washington, USA,47.6061389,-122.3328481,35
Sioux Falls, South Dakota, USA,43.5460223,-96.731265,12
St. Louis, Missouri, USA,38.6270025,-90.1994042,11
Sunrise, Florida, USA,27.6648274,-81.5157535,25
Tampa, Florida, USA,27.9516896,-82.4587527,25
Tulsa, Oklahoma, USA,36.1539816,-95.992775,11
Uniondale, New York, USA,40.700611,-73.5931669,13
Utica, New York, USA,43.100903,-75.232664,12
Washington, DC, USA,38.9071923,-77.0368707,20
Wichita, Kansas, USA,37.6871761,-97.330053,13
